id,nombre,descripcion,institucion,categoria,modalidad,nivel_digital,tiempo_estimado,costo,ubicacion,requisitos,pasos,tags,para_emprendedores,vistas,url_oficial
TRM023,Permiso de Operación Turística,Autorización para operar negocios turísticos (hoteles, tours, restaurantes),INGUAT - Instituto Guatemalteco de Turismo,Turismo,Presencial,Análogo,30-45 días hábiles,400,"INGUAT, 7a Av. 1-17 zona 4","Patente de comercio|Licencia sanitaria|RTU de la propiedad|Planos del establecimiento|DPI del propietario|Registro de empleados","Presentar solicitud|Inspección inicial|Clasificación del establecimiento|Corrección de observaciones|Inspección final|Emisión de licencia","turismo|INGUAT|hotel|operación|permiso",true,960,https://inguat.gob.gt
TRM024,Título Profesional,Emisión de título universitario legalizado,Universidad de San Carlos de Guatemala,Educación,Presencial,Análogo,60-90 días hábiles,800,"Secretaría General USAC, Ciudad Universitaria zona 12","Acta de graduación|Certificación de cursos|Solvencia de biblioteca|Solvencia financiera|DPI|Fotografías","Cierre de pensum|Realizar examen privado|Realizar tesis o EPS|Examen público|Pago de título|Emisión y legalización","título|profesional|universidad|graduación|USAC",false,1650,https://usac.edu.gt
TRM025,Permiso de Construcción de Muro Perimetral,Autorización para construcción de muros y cercos,Municipalidad de Guatemala,Construcción y Vivienda,Presencial,Análogo,10-15 días hábiles,150,"Dirección de Planificación Urbana, 21 calle 6-77 zona 1","DPI del propietario|Escritura del terreno|Plano de ubicación|Diseño del muro|Solvencia IUSI","Presentar solicitud|Pago de tasa|Inspección de linderos|Aprobación técnica|Emisión de permiso","construcción|muro|municipalidad|permiso|obra",false,1100,https://muniguate.gob.gt
TRM026,Registro de Asociación Civil,Inscripción legal de organizaciones sin fines de lucro,Ministerio de Gobernación,Legal,Presencial,Análogo,30-60 días hábiles,200,"Dirección de Registro de Personas Jurídicas, Gobernación, 6a Av. 13-71 zona 1","Acta de constitución|Estatutos de la asociación|Nómina de miembros fundadores|DPI de representantes|Dirección de oficina","Elaborar estatutos|Acta de asamblea constitutiva|Presentar documentos|Revisión legal|Publicación en Diario Oficial|Emisión de personería jurídica","asociación|ONG|registro|legal|personería jurídica",true,1580,https://mingob.gob.gt
TRM027,Licencia de Operación de Radio FM,Autorización para operar estación de radio en frecuencia FM,SIT - Superintendencia de Telecomunicaciones,Comunicaciones,Presencial,Parcialmente Digital,90-180 días hábiles,5000,"SIT, 14 calle 5-63 zona 9","Estudio técnico de frecuencia|Personería jurídica o DPI|Planos de instalación|Especificaciones de equipos|Fianza de cumplimiento","Solicitar frecuencia disponible|Presentar estudio técnico|Pago de derechos|Resolución de asignación|Instalación de equipos|Inspección técnica|Emisión de licencia","radio|FM|telecomunicaciones|licencia|broadcasting",true,340,https://sit.gob.gt
TRM028,Constancia de Antecedentes Disciplinarios,Certificado de buena conducta laboral en el sector público,ONSEC - Oficina Nacional de Servicio Civil,Laboral,Presencial,Análogo,3-5 días hábiles,25,"ONSEC, Edificio Galerías España 7a Av. 3-23 zona 9","DPI del solicitante|Haber sido empleado público|Formulario de solicitud|Recibo de pago","Solicitar en ventanilla|Pago de constancia|Verificación en sistema|Emisión de certificado","antecedentes|laboral|ONSEC|certificado|público",false,980,https://onsec.gob.gt
TRM029,Autorización de Libros Contables,Legalización de libros contables ante SAT,SAT - Superintendencia de Administración Tributaria,Tributario,Presencial,Parcialmente Digital,1-2 días hábiles,25,"Agencias SAT en todo el país","Libros en blanco|Estar inscrito en SAT|DPI del propietario o representante legal|Memorial de solicitud","Presentar libros y memorial|Revisión de formato|Sellado y firma de libros|Pago de arancel|Entrega de libros autorizados","contabilidad|libros|SAT|tributario|legalización",true,2400,https://portal.sat.gob.gt
TRM030,Permiso de Señalización Comercial,Autorización para instalar rótulos y vallas publicitarias,Municipalidad de Guatemala,Urbanismo,Presencial,Análogo,15-20 días hábiles,300,"Dirección de Urbanismo, 21 calle 6-77 zona 1","Diseño del rótulo|DPI del solicitante|Contrato de arrendamiento del espacio|Plano de ubicación|Fotografía del sitio","Presentar solicitud|Pago de tasa municipal|Inspección de ubicación|Verificación de normativa|Emisión de permiso","señalización|rótulo|valla|municipalidad|publicidad",true,720,https://muniguate.gob.gt
TRM031,Inscripción de Establecimientos Educativos Privados,Registro de colegios y escuelas privadas ante MINEDUC,MINEDUC - Ministerio de Educación,Educación,Presencial,Parcialmente Digital,60-90 días hábiles,0,"DIDEDUC de cada departamento","Personería jurídica|Escritura del inmueble o contrato|Plan de estudios|Planos del edificio|Nómina de personal docente|Equipo y mobiliario","Presentar solicitud|Inspección de instalaciones|Revisión de plan de estudios|Verificación de personal|Resolución ministerial|Asignación de código de establecimiento","educación|colegio|escuela|MINEDUC|registro",true,450,https://mineduc.gob.gt
TRM032,Certificado de Origen,Documento que certifica el origen de mercancías para exportación,Ministerio de Economía - VUPE,Aduanero,En línea,100% Digital,1-2 días hábiles,50,Portal VUPE - Ventanilla Única Para Exportaciones,"Registro como exportador|Factura comercial|Packing list|Declaración jurada de origen","Ingresar a portal VUPE|Crear solicitud de certificado|Adjuntar documentos|Pago en línea|Aprobación automática|Descarga de certificado","origen|exportación|comercio exterior|certificado|VUPE",true,2100,https://vupe.gob.gt
TRM033,Permiso de Portación de Armas de Fuego,Licencia para portar armas de fuego legalmente,DIGECAM - Dirección General de Control de Armas,Seguridad,Presencial,Parcialmente Digital,45-60 días hábiles,500,"DIGECAM, 16 Av. 21-26 zona 10","DPI vigente|Certificado médico y psicológico|Constancia de ingresos|Antecedentes penales y policiales|Curso de manejo de armas|Certificado de arma registrada","Curso de manejo de armas|Examen psicológico|Presentar documentos|Entrevista personal|Investigación de antecedentes|Emisión de licencia","armas|portación|DIGECAM|seguridad|licencia",false,1890,https://digecam.gob.gt
TRM034,Devolución de IVA a Exportadores,Trámite para solicitar devolución de crédito fiscal IVA,SAT - Superintendencia de Administración Tributaria,Tributario,En línea,100% Digital,30-90 días hábiles,0,Portal Agencia Virtual SAT,"Ser exportador registrado|Declaraciones de IVA al día|Facturas de exportación|Facturas de compras|Libros contables|Documentos de exportación (DUAs)","Ingresar a Agencia Virtual|Crear expediente electrónico|Adjuntar documentación de soporte|Presentar solicitud|Auditoría de SAT|Aprobación y transferencia","devolución|IVA|exportación|SAT|crédito fiscal",true,1250,https://portal.sat.gob.gt
TRM035,Registro de Propiedad Inmueble,Inscripción de compra-venta de bienes inmuebles,Registro General de la Propiedad,Legal,Presencial,Parcialmente Digital,30-60 días hábiles,Variable según valor,"Registro de la Propiedad, 2a Av. 8-39 zona 1","Testimonio de escritura pública|Solvencia municipal (IUSI)|Certificación de libertad de gravamen|DPI del comprador|Recibo de pago de arancel","Elaborar escritura pública|Pago de impuesto IUSI|Presentar en Registro|Calificación registral|Ingreso al libro de inscripciones|Emisión de certificación","propiedad|inmueble|registro|compraventa|escritura",false,3400,https://rgp.gob.gt
TRM036,Licencia de Funcionamiento de Farmacia,Permiso para operar farmacias y droguerías,Ministerio de Salud Pública,Salud,Presencial,Parcialmente Digital,30-45 días hábiles,800,"Departamento de Regulación Farmacéutica, 6a Av. 3-45 zona 11","Título de químico farmacéutico|Patente de comercio|Planos del local|Lista de medicamentos|Protocolo de manejo|Seguro del regente","Presentar solicitud|Inspección de instalaciones|Verificación de protocolo|Corrección de observaciones|Inspección final|Emisión de licencia","farmacia|medicamentos|salud|licencia|sanitario",true,980,https://mspas.gob.gt
TRM037,Credencial de Prensa,Carné oficial para periodistas acreditados,GPP - Gremial de Periodistas,Comunicaciones,Presencial,Análogo,10-15 días hábiles,100,"Oficinas de la Gremial de Periodistas, 6a Av. 3-80 zona 1","DPI vigente|Título universitario o constancia de estudiante|Carta de medio de comunicación|Fotografías tamaño cédula|Solvencia de cuota","Presentar documentos|Pago de cuota anual|Verificación de datos|Toma de fotografía|Emisión de credencial","prensa|periodista|comunicación|credencial|GPP",false,650,https://gpg.org.gt
TRM038,Certificado de Buena Salud,Certificado médico para trámites laborales y educativos,Centro de Salud Público o Privado,Salud,Presencial,Análogo,1-3 días hábiles,75,"Centros de salud públicos y clínicas privadas autorizadas","DPI del paciente|Exámenes de laboratorio básicos|Radiografía de tórax (si se requiere)","Agendar cita médica|Realizar exámenes|Consulta con médico|Firma y sello del médico|Entrega de certificado","salud|certificado|médico|examen|laboral",false,4500,https://mspas.gob.gt
TRM039,Permiso de Uso de Suelo,Autorización del uso permitido de un terreno según zonificación,Municipalidad de Guatemala,Urbanismo,Presencial,Parcialmente Digital,10-20 días hábiles,200,"Dirección de Planificación Urbana, 21 calle 6-77 zona 1","Escritura del inmueble|DPI del propietario|Plano de ubicación|Descripción del proyecto|Solvencia IUSI","Presentar solicitud|Verificación de zonificación|Inspección de campo|Dictamen técnico|Emisión de dictamen","suelo|zonificación|municipalidad|urbanismo|permiso",true,1340,https://muniguate.gob.gt
TRM040,Pensión Alimenticia,Solicitud judicial de pensión para hijos menores,Organismo Judicial - Juzgados de Familia,Legal,Presencial,Análogo,60-180 días hábiles,0,"Juzgados de Familia en cada departamento","DPI del solicitante|Certificado de nacimiento del menor|Pruebas de gastos del menor|Dirección del demandado|Documentos de ingresos (si tiene)","Presentar demanda|Audiencia de conciliación|Presentación de pruebas|Resolución judicial|Establecimiento de monto|Ejecución de sentencia","pensión|alimentos|familia|judicial|legal",false,2850,https://oj.gob.gt
